"","x","y"
"1",1898.81491699219,2540.96314697266
"2",1895.30472412109,2532.62687988281
"3",2368.07322998047,2534.40926513672
"4",1903.72628173828,2560.00991210937
"5",1917.48129882812,2543.13193359375
"6",1926.53952636719,2560.04436035156
"7",1931.87008056641,2532.75159912109
"8",1939.55577392578,2552.69049072266
"9",1958.75568847656,2530.24144287109
"10",1949.97283935547,2557.2349609375
"11",1972.69913330078,2531.40728759766
"12",1971.10330810547,2548.03935546875
"13",1986.74488525391,2551.89278564453
"14",1990.85377197266,2535.00671386719
"15",2002.52301025391,2540.13265380859
"16",2011.21766357422,2530.26136474609
"17",2015.38029785156,2547.00072021484
"18",2029.1724609375,2552.50268554688
"19",2037.25078125,2534.95421142578
"20",2456.95903320312,2560.49405517578
"21",2080.01702880859,2559.9841796875
"22",2088.02479248047,2526.52788085937
"23",2085.11931152344,2546.84321289062
"24",2101.90639648437,2549.50091552734
"25",2102.11204833984,2540.18474121094
"26",2089.81215820312,2539.79564208984
"27",2095.25290527344,2533.07989501953
"28",2100.01962890625,2527.25170898438
"29",2197.50711669922,2524.51120605469
"30",2209.93089599609,2542.31368408203
"31",2152.99791259766,2554.53782958984
"32",2220.63599853516,2524.39208984375
"33",2233.55740966797,2539.14527587891
"34",2193.47418212891,2551.06748046875
"35",2234.25197753906,2548.84515380859
"36",2223.42609863281,2558.12044677734
"37",2162.47159423828,2537.92091064453
"38",2285.97995605469,2546.42028808594
"39",2269.27255859375,2553.83558349609
"40",2250.52109375,2547.23770751953
"41",2271.71672363281,2524.19909667969
"42",2299.51604003906,2534.20506591797
"43",2312.18323974609,2555.86719970703
"44",2323.21020507812,2551.80458984375
"45",2317.651171875,2541.21901855469
"46",2328.80700683594,2538.58725585938
"47",2333.20559082031,2549.33199462891
"48",2349.24373779297,2529.56638183594
"49",2330.7498046875,2527.63707275391
"50",2356.39071044922,2544.83940429687
"51",2175.94396972656,2530.29685058594
"52",2387.84382324219,2537.82690429688
"53",2401.21555175781,2526.45815429687
"54",2392.53459472656,2555.69578857422
"55",2407.53825683594,2545.44328613281
"56",2425.20439453125,2554.17653808594
"57",2433.32774658203,2542.12525634766
"58",2139.5861328125,2558.60915527344
"59",2448.86058349609,2534.09674072266
"60",2108.44097900391,2537.64304199219
"61",2122.03890380859,2528.28640136719
"62",2124.32514648437,2550.35485839844
"63",2111.27631835937,2528.75705566406
"64",2125.98862304688,2538.57895507813
"65",2134.72830810547,2542.1341796875
"66",2144.38356933594,2536.84720458984
"67",2159.43454589844,2533.39532470703
"68",2166.65,2532.11451416016
"69",2158.87341308594,2524.72225341797
"70",2155.84611816406,2543.55070800781
"71",2171.32935791016,2548.15909423828
"72",2066.78184814453,2545.16853027344
"73",1711.68770751953,2527.475
"74",1872.3939453125,2531.13668212891
"75",1774.49909667969,2528.90646972656
"76",1881.12989501953,2532.72690429688
"77",1766.90346679687,2529.61390380859
"78",1705.08931274414,2557.0125
"79",1803.2783203125,2529.77369384766
